Year,File Type,File Size,Compression,Resolution,Season,Image File,World File,Location
2012,ECW,19MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/N13C-1.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/N13C-1.eww,"POLYGON ((-97.132012734087 49.772398780755, -97.132185528165 49.767903967205, -97.139125191803 49.76801566438, -97.138953038818 49.772510495587, -97.132012734087 49.772398780755))"
2012,ECW,20MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/N15A-1.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/N15A-1.eww,"POLYGON ((-97.076135894538 49.780479432394, -97.076313906298 49.775984770402, -97.083254500203 49.776099827284, -97.083077129743 49.780594507464, -97.076135894538 49.780479432394))"
2012,ECW,20MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/J15B-2.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/J15B-2.eww,"POLYGON ((-97.052427327397 49.85204488444, -97.052607988444 49.847550341152, -97.0595587271 49.84766693913, -97.05937870989 49.852161500856, -97.052427327397 49.85204488444))"
2012,ECW,20MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/B13A-2.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/B13A-2.eww,"POLYGON ((-97.117047099534 49.979042987269, -97.117222554793 49.974548373215, -97.124191831943 49.974661304424, -97.124017025218 49.979155936351, -97.117047099534 49.979042987269))"
2012,ECW,19MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/M16A-2.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/M16A-2.eww,"POLYGON ((-97.040705065117 49.797876063769, -97.040886465458 49.793381509661, -97.047829399957 49.79349871816, -97.047648641486 49.797993290798, -97.040705065117 49.797876063769))"
2012,ECW,9MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/F6A-2.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/F6A-2.eww,"POLYGON ((-97.314733053477 49.910125439279, -97.314889711411 49.90563028796, -97.318581337733 49.905683886934, -97.318425022601 49.910179046733, -97.314733053477 49.910125439279))"
2012,ECW,2MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/B15C-1.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/B15C-1.eww,"POLYGON ((-97.068463657539 49.962711508765, -97.068512804345 49.961483611835, -97.072524509138 49.961550360905, -97.072475464256 49.962778260721, -97.068463657539 49.962711508765))"
2012,ECW,4MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/D17C-3.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/D17C-3.eww,"POLYGON ((-97.014395709828 49.931323960792, -97.014438122128 49.930292051732, -97.021400594244 49.930411080933, -97.021358330428 49.931442994316, -97.014395709828 49.931323960792))"
2012,ECW,18MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/J8C-3.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/J8C-3.eww,"POLYGON ((-97.268422489815 49.841980970179, -97.268583064001 49.837485874239, -97.275533199623 49.837589506812, -97.275373269223 49.842084619141, -97.268422489815 49.841980970179))"
2012,ECW,17MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/E11D-3.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/E11D-3.eww,"POLYGON ((-97.168396709119 49.912403362124, -97.168566979375 49.907908565405, -97.175526851687 49.908018306435, -97.17535722762 49.912513120515, -97.168396709119 49.912403362124))"
